left_actor_id,right_actor_id,weight
nm0000212,nm0413168,1
nm0000212,nm0000630,1
nm0000212,nm0005227,1
nm0000212,nm0000473,1
nm0000212,nm0001435,1
nm0000212,nm0000527,1
nm0000212,nm0749263,1
nm0000212,nm0000492,1
nm0000212,nm1476796,1
nm0000212,nm0000128,1
nm0000212,nm0001556,1
nm0000212,nm0715622,1
nm0000212,nm0004898,1
nm0000212,nm0001165,1
nm0000212,nm0001724,1
nm0000212,nm0111013,1
nm0000212,nm0829576,1
nm0000212,nm0025745,1
nm0000212,nm0578949,1
nm0000212,nm0000906,1
nm0000212,nm0005226,1
nm0000212,nm0000104,1
nm0000212,nm0004988,1
nm0000212,nm0004757,1
nm0000212,nm0000513,1
nm0000212,nm0005112,1
nm0000212,nm0001285,1
nm0000212,nm0000459,1
nm0000212,nm0068338,1
nm0000212,nm0519043,1
nm0000212,nm2614237,1
nm0000212,nm0001731,1
nm0000212,nm0512934,1
nm0413168,nm0000630,2
nm0413168,nm0005227,1
nm0413168,nm0001772,5
nm0413168,nm0005212,4
nm0413168,nm0000463,2
nm0413168,nm0000237,1
nm0413168,nm0000932,3
nm0413168,nm0000332,1
nm0413168,nm0000295,1
nm0413168,nm0746896,1
nm0413168,nm0378175,1
nm0413168,nm0000704,1
nm0413168,nm0005261,1
nm0413168,nm0000245,1
nm0413168,nm0001838,1
nm0413168,nm0859503,1
nm0413168,nm0000995,1
nm0413168,nm0000701,1
nm0413168,nm0000606,1
nm0413168,nm1431940,1
nm0413168,nm2023672,1
nm0413168,nm1107001,1
nm0413168,nm0000173,1
nm0413168,nm0011354,1
nm0413168,nm1812267,1
nm0413168,nm0424060,2
nm0413168,nm0242319,1
nm0413168,nm0061106,1
nm0413168,nm0005351,1
nm0413168,nm0396812,1
nm0413168,nm0000288,1
nm0413168,nm0000323,1
nm0413168,nm0000191,1
nm0413168,nm0931329,2
nm0413168,nm0022883,1
nm0413168,nm5473782,1
nm0413168,nm8030441,1
nm0413168,nm0366846,1
nm0413168,nm0350453,1
nm0413168,nm0205626,1
nm0413168,nm0502425,1
nm0413168,nm0498449,1
nm0413168,nm5148840,1
nm0413168,nm3822462,1
nm0413168,nm3948952,1
nm0413168,nm0000164,1
nm0413168,nm0000368,1
nm0413168,nm0000285,1
nm0413168,nm0279545,1
nm0413168,nm1517976,1
nm0413168,nm1374980,1
nm0413168,nm3918035,1
nm0413168,nm0000128,1
nm0413168,nm0004266,1
nm0413168,nm1086543,1
nm0413168,nm1663205,1
nm0413168,nm2353862,1
nm0413168,nm0000244,1
nm0413168,nm0564215,1
nm0413168,nm0272581,1
nm0413168,nm0628601,1
nm0413168,nm0193295,1
nm0413168,nm6748436,1
nm0413168,nm2933542,1
nm0413168,nm5920962,1
nm0413168,nm1330560,1
nm0413168,nm1913734,1
nm0413168,nm0909144,1
nm0413168,nm0000410,1
nm0413168,nm0524240,1
nm0413168,nm0005380,1
nm0413168,nm0925578,1
nm0413168,nm0005049,1
nm0000630,nm0005227,1
nm0000630,nm0000274,1
nm0000630,nm0000117,1
nm0000630,nm0001073,1
nm0000630,nm0000156,1
nm0000630,nm0001439,2
nm0000630,nm0472928,1
nm0000630,nm0000243,1
nm0000630,nm0000658,1
nm0000630,nm0253708,1
nm0000630,nm0915208,1
nm0000630,nm0001570,1
nm0000630,nm2474010,1
nm0000630,nm0005351,1
nm0000630,nm0396812,2
nm0000630,nm0005466,1
nm0000630,nm2089090,1
nm0000630,nm0000667,1
nm0000630,nm0097842,1
nm0000630,nm0001670,1
nm0000630,nm0908919,1
nm0000630,nm0001401,1
nm0000630,nm0252230,1
nm0000630,nm0646037,1
nm0000630,nm0185819,1
nm0000630,nm0068260,1
nm0000630,nm1111968,1
nm0000630,nm0000179,1
nm0000630,nm0001845,1
nm0000630,nm0103797,1
nm0000630,nm0000166,1
nm0000630,nm0001303,1
